State,Year,Month,Condition,BehavioralHealthService,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201812,Substance use disorder,Outpatient,"2,083",1.6,
Alabama,2018,201812,Mental health disorder,Telehealth,34,0,
Alabama,2018,201812,Substance use disorder,Telehealth,69,0.1,
Alabama,2019,201901,Mental health disorder,Emergency department,"6,609",5,
Alabama,2019,201901,Substance use disorder,Emergency department,"9,486",7.2,
Alabama,2019,201901,Mental health disorder,Inpatient,"3,563",2.7,
Alabama,2019,201901,Substance use disorder,Inpatient,"3,976",3,
Alabama,2019,201901,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,995",8.3,
Alabama,2019,201901,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,538",8,
Alabama,2019,201901,Mental health disorder,Outpatient,"142,039",107.8,
Alabama,2019,201901,Substance use disorder,Outpatient,"2,663",2,
Alabama,2019,201901,Mental health disorder,Telehealth,67,0.1,
Alabama,2019,201901,Substance use disorder,Telehealth,98,0.1,
Alabama,2019,201902,Mental health disorder,Emergency department,"5,953",4.5,
Alabama,2019,201902,Substance use disorder,Emergency department,"8,788",6.6,
Alabama,2019,201902,Mental health disorder,Inpatient,"3,384",2.6,
Alabama,2019,201902,Substance use disorder,Inpatient,"3,567",2.7,
Alabama,2019,201902,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,823",8.2,
Alabama,2019,201902,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,738",7.3,
Alabama,2019,201902,Mental health disorder,Outpatient,"131,247",99,
Alabama,2019,201902,Substance use disorder,Outpatient,"2,641",2,
Alabama,2019,201902,Mental health disorder,Telehealth,74,0.1,
Alabama,2019,201902,Substance use disorder,Telehealth,80,0.1,
Alabama,2019,201903,Mental health disorder,Emergency department,"6,190",4.7,
Alabama,2019,201903,Substance use disorder,Emergency department,"9,315",7.1,
Alabama,2019,201903,Mental health disorder,Inpatient,"3,513",2.7,
Alabama,2019,201903,Substance use disorder,Inpatient,"3,784",2.9,
Alabama,2019,201903,Mental health disorder,Intensive outpatient/Partial hospitalization,"11,105",8.4,
Alabama,2019,201903,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,786",7.4,
Alabama,2019,201903,Mental health disorder,Outpatient,"134,632",102.2,
Alabama,2019,201903,Substance use disorder,Outpatient,"2,716",2.1,
Alabama,2019,201903,Mental health disorder,Telehealth,62,0,
Alabama,2019,201903,Substance use disorder,Telehealth,66,0.1,
Alabama,2019,201904,Mental health disorder,Emergency department,"6,281",4.7,
Alabama,2019,201904,Substance use disorder,Emergency department,"8,929",6.7,
Alabama,2019,201904,Mental health disorder,Inpatient,"3,570",2.7,
Alabama,2019,201904,Substance use disorder,Inpatient,"3,717",2.8,
Alabama,2019,201904,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,240",9.2,
Alabama,2019,201904,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,558",8,
Alabama,2019,201904,Mental health disorder,Outpatient,"141,594",106.7,
Alabama,2019,201904,Substance use disorder,Outpatient,"3,098",2.3,
Alabama,2019,201904,Mental health disorder,Telehealth,90,0.1,
Alabama,2019,201904,Substance use disorder,Telehealth,91,0.1,
Alabama,2019,201905,Mental health disorder,Emergency department,"6,110",4.6,
Alabama,2019,201905,Substance use disorder,Emergency department,"9,278",7,
Alabama,2019,201905,Mental health disorder,Inpatient,"3,458",2.6,
Alabama,2019,201905,Substance use disorder,Inpatient,"3,930",3,
Alabama,2019,201905,Mental health disorder,Intensive outpatient/Partial hospitalization,"11,982",9.1,
Alabama,2019,201905,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,643",8.1,
Alabama,2019,201905,Mental health disorder,Outpatient,"135,518",102.8,
Alabama,2019,201905,Substance use disorder,Outpatient,"3,021",2.3,
Alabama,2019,201905,Mental health disorder,Telehealth,89,0.1,
Alabama,2019,201905,Substance use disorder,Telehealth,72,0.1,
Alabama,2019,201906,Mental health disorder,Emergency department,"5,904",4.5,
Alabama,2019,201906,Substance use disorder,Emergency department,"9,168",7,
Alabama,2019,201906,Mental health disorder,Inpatient,"3,454",2.7,
Alabama,2019,201906,Substance use disorder,Inpatient,"3,771",2.9,
Alabama,2019,201906,Mental health disorder,Intensive outpatient/Partial hospitalization,"15,466",11.9,
Alabama,2019,201906,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,940",7.6,
Alabama,2019,201906,Mental health disorder,Outpatient,"121,379",93.2,
Alabama,2019,201906,Substance use disorder,Outpatient,"2,793",2.1,
Alabama,2019,201906,Mental health disorder,Telehealth,68,0.1,
Alabama,2019,201906,Substance use disorder,Telehealth,90,0.1,
Alabama,2019,201907,Mental health disorder,Emergency department,"6,049",4.6,
Alabama,2019,201907,Substance use disorder,Emergency department,"9,333",7.1,
Alabama,2019,201907,Mental health disorder,Inpatient,"3,578",2.7,
Alabama,2019,201907,Substance use disorder,Inpatient,"3,941",3,
Alabama,2019,201907,Mental health disorder,Intensive outpatient/Partial hospitalization,"14,372",10.9,
Alabama,2019,201907,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,687",8.1,
Alabama,2019,201907,Mental health disorder,Outpatient,"129,610",98.1,
Alabama,2019,201907,Substance use disorder,Outpatient,"2,860",2.2,
Alabama,2019,201907,Mental health disorder,Telehealth,42,0,
Alabama,2019,201907,Substance use disorder,Telehealth,60,0,
Alabama,2019,201908,Mental health disorder,Emergency department,"6,221",4.7,
Alabama,2019,201908,Substance use disorder,Emergency department,"9,074",6.8,
Alabama,2019,201908,Mental health disorder,Inpatient,"3,618",2.7,
Alabama,2019,201908,Substance use disorder,Inpatient,"3,949",3,
Alabama,2019,201908,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,402",7.8,
Alabama,2019,201908,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,440",7.8,
Alabama,2019,201908,Mental health disorder,Outpatient,"136,624",102.7,
Alabama,2019,201908,Substance use disorder,Outpatient,"3,050",2.3,
Alabama,2019,201908,Mental health disorder,Telehealth,45,0,
Alabama,2019,201908,Substance use disorder,Telehealth,70,0.1,
Alabama,2019,201909,Mental health disorder,Emergency department,"6,616",5,
Alabama,2019,201909,Substance use disorder,Emergency department,"9,047",6.8,
Alabama,2019,201909,Mental health disorder,Inpatient,"3,522",2.7,
Alabama,2019,201909,Substance use disorder,Inpatient,"3,931",3,
Alabama,2019,201909,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,579",8,
Alabama,2019,201909,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,754",7.4,
Alabama,2019,201909,Mental health disorder,Outpatient,"132,933",100.5,
Alabama,2019,201909,Substance use disorder,Outpatient,"2,862",2.2,
Alabama,2019,201909,Mental health disorder,Telehealth,60,0,
Alabama,2019,201909,Substance use disorder,Telehealth,53,0,
Alabama,2019,201910,Mental health disorder,Emergency department,"6,356",4.8,
Alabama,2019,201910,Substance use disorder,Emergency department,"8,741",6.6,
Alabama,2019,201910,Mental health disorder,Inpatient,"3,567",2.7,
Alabama,2019,201910,Substance use disorder,Inpatient,"3,814",2.9,
Alabama,2019,201910,Mental health disorder,Intensive outpatient/Partial hospitalization,"12,020",9.1,
Alabama,2019,201910,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,964",8.3,
Alabama,2019,201910,Mental health disorder,Outpatient,"142,473",108.2,
Alabama,2019,201910,Substance use disorder,Outpatient,"3,534",2.7,
Alabama,2019,201910,Mental health disorder,Telehealth,50,0,
Alabama,2019,201910,Substance use disorder,Telehealth,88,0.1,
Alabama,2019,201911,Mental health disorder,Emergency department,"5,845",4.6,
Alabama,2019,201911,Substance use disorder,Emergency department,"8,298",6.5,
Alabama,2019,201911,Mental health disorder,Inpatient,"3,118",2.5,
Alabama,2019,201911,Substance use disorder,Inpatient,"3,583",2.8,
Alabama,2019,201911,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,405",7.4,
Alabama,2019,201911,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,493",7.5,
Alabama,2019,201911,Mental health disorder,Outpatient,"122,070",96.1,
Alabama,2019,201911,Substance use disorder,Outpatient,"2,980",2.3,
Alabama,2019,201911,Mental health disorder,Telehealth,32,0,
Alabama,2019,201911,Substance use disorder,Telehealth,60,0,
Alabama,2019,201912,Mental health disorder,Emergency department,"5,516",4.5,
Alabama,2019,201912,Substance use disorder,Emergency department,"8,757",7.1,
Alabama,2019,201912,Mental health disorder,Inpatient,"3,128",2.5,
Alabama,2019,201912,Substance use disorder,Inpatient,"3,541",2.9,
Alabama,2019,201912,Mental health disorder,Intensive outpatient/Partial hospitalization,"9,645",7.8,
Alabama,2019,201912,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,339",7.5,
Alabama,2019,201912,Mental health disorder,Outpatient,"117,570",95,
Alabama,2019,201912,Substance use disorder,Outpatient,"3,033",2.4,
Alabama,2019,201912,Mental health disorder,Telehealth,40,0,
Alabama,2019,201912,Substance use disorder,Telehealth,61,0,
Alabama,2020,202001,Mental health disorder,Emergency department,"6,112",5,
Alabama,2020,202001,Substance use disorder,Emergency department,"9,105",7.5,
Alabama,2020,202001,Mental health disorder,Inpatient,"3,730",3.1,
Alabama,2020,202001,Substance use disorder,Inpatient,"4,015",3.3,
Alabama,2020,202001,Mental health disorder,Intensive outpatient/Partial hospitalization,"11,219",9.2,
Alabama,2020,202001,Substance use disorder,Intensive outpatient/Partial hospitalization,"11,726",9.6,
Alabama,2020,202001,Mental health disorder,Outpatient,"143,151",117.2,
Alabama,2020,202001,Substance use disorder,Outpatient,"3,737",3.1,
Alabama,2020,202001,Mental health disorder,Telehealth,61,0,
Alabama,2020,202001,Substance use disorder,Telehealth,98,0.1,
Alabama,2020,202002,Mental health disorder,Emergency department,"5,793",4.9,
Alabama,2020,202002,Substance use disorder,Emergency department,"8,379",7,
Alabama,2020,202002,Mental health disorder,Inpatient,"3,354",2.8,
Alabama,2020,202002,Substance use disorder,Inpatient,"3,564",3,
Alabama,2020,202002,Mental health disorder,Intensive outpatient/Partial hospitalization,"10,461",8.8,
Alabama,2020,202002,Substance use disorder,Intensive outpatient/Partial hospitalization,"10,657",8.9,
Alabama,2020,202002,Mental health disorder,Outpatient,"132,175",110.8,
Alabama,2020,202002,Substance use disorder,Outpatient,"3,579",3,
Alabama,2020,202002,Mental health disorder,Telehealth,81,0.1,
Alabama,2020,202002,Substance use disorder,Telehealth,87,0.1,
Alabama,2020,202003,Mental health disorder,Emergency department,"4,837",4.1,
Alabama,2020,202003,Substance use disorder,Emergency department,"7,696",6.5,
Alabama,2020,202003,Mental health disorder,Inpatient,"2,929",2.5,
Alabama,2020,202003,Substance use disorder,Inpatient,"3,223",2.7,
Alabama,2020,202003,Mental health disorder,Intensive outpatient/Partial hospitalization,"8,201",7,
Alabama,2020,202003,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,913",8.4,
Alabama,2020,202003,Mental health disorder,Outpatient,"109,633",93.3,
Alabama,2020,202003,Substance use disorder,Outpatient,"2,681",2.3,
Alabama,2020,202003,Mental health disorder,Telehealth,"7,205",6.1,
Alabama,2020,202003,Substance use disorder,Telehealth,"1,531",1.3,
Alabama,2020,202004,Mental health disorder,Emergency department,"3,219",2.7,
Alabama,2020,202004,Substance use disorder,Emergency department,"5,250",4.4,
Alabama,2020,202004,Mental health disorder,Inpatient,"2,287",1.9,
Alabama,2020,202004,Substance use disorder,Inpatient,"2,514",2.1,
Alabama,2020,202004,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,465",2.9,
Alabama,2020,202004,Substance use disorder,Intensive outpatient/Partial hospitalization,"6,717",5.7,
Alabama,2020,202004,Mental health disorder,Outpatient,"61,137",51.7,
Alabama,2020,202004,Substance use disorder,Outpatient,691,0.6,
Alabama,2020,202004,Mental health disorder,Telehealth,"29,765",25.2,
Alabama,2020,202004,Substance use disorder,Telehealth,"5,556",4.7,
Alabama,2020,202005,Mental health disorder,Emergency department,"4,049",3.4,
Alabama,2020,202005,Substance use disorder,Emergency department,"6,515",5.5,
Alabama,2020,202005,Mental health disorder,Inpatient,"2,954",2.5,
Alabama,2020,202005,Substance use disorder,Inpatient,"3,182",2.7,
Alabama,2020,202005,Mental health disorder,Intensive outpatient/Partial hospitalization,"4,260",3.6,
Alabama,2020,202005,Substance use disorder,Intensive outpatient/Partial hospitalization,"7,364",6.2,
Alabama,2020,202005,Mental health disorder,Outpatient,"65,999",55.4,
Alabama,2020,202005,Substance use disorder,Outpatient,780,0.7,
Alabama,2020,202005,Mental health disorder,Telehealth,"25,364",21.3,
Alabama,2020,202005,Substance use disorder,Telehealth,"4,282",3.6,
Alabama,2020,202006,Mental health disorder,Emergency department,"4,517",3.8,
Alabama,2020,202006,Substance use disorder,Emergency department,"7,182",6,
Alabama,2020,202006,Mental health disorder,Inpatient,"3,165",2.6,
Alabama,2020,202006,Substance use disorder,Inpatient,"3,330",2.8,
Alabama,2020,202006,Mental health disorder,Intensive outpatient/Partial hospitalization,"7,658",6.4,
Alabama,2020,202006,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,627",7.2,
Alabama,2020,202006,Mental health disorder,Outpatient,"78,208",65,
Alabama,2020,202006,Substance use disorder,Outpatient,"1,355",1.1,
Alabama,2020,202006,Mental health disorder,Telehealth,"22,320",18.6,
Alabama,2020,202006,Substance use disorder,Telehealth,"3,758",3.1,
Alabama,2020,202007,Mental health disorder,Emergency department,"4,666",3.8,
Alabama,2020,202007,Substance use disorder,Emergency department,"7,221",6,
Alabama,2020,202007,Mental health disorder,Inpatient,"3,148",2.6,
Alabama,2020,202007,Substance use disorder,Inpatient,"3,212",2.6,
Alabama,2020,202007,Mental health disorder,Intensive outpatient/Partial hospitalization,"7,951",6.6,
Alabama,2020,202007,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,815",7.3,
Alabama,2020,202007,Mental health disorder,Outpatient,"77,393",63.8,
Alabama,2020,202007,Substance use disorder,Outpatient,"1,435",1.2,
Alabama,2020,202007,Mental health disorder,Telehealth,"22,810",18.8,
Alabama,2020,202007,Substance use disorder,Telehealth,"3,640",3,
Alabama,2020,202008,Mental health disorder,Emergency department,"4,540",3.7,
Alabama,2020,202008,Substance use disorder,Emergency department,"7,438",6.1,
Alabama,2020,202008,Mental health disorder,Inpatient,"3,184",2.6,
Alabama,2020,202008,Substance use disorder,Inpatient,"3,308",2.7,
Alabama,2020,202008,Mental health disorder,Intensive outpatient/Partial hospitalization,"6,293",5.1,
Alabama,2020,202008,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,637",7.1,
Alabama,2020,202008,Mental health disorder,Outpatient,"79,505",65,
Alabama,2020,202008,Substance use disorder,Outpatient,"1,491",1.2,
Alabama,2020,202008,Mental health disorder,Telehealth,"22,589",18.5,
Alabama,2020,202008,Substance use disorder,Telehealth,"3,332",2.7,
Alabama,2020,202009,Mental health disorder,Emergency department,"4,937",4,
Alabama,2020,202009,Substance use disorder,Emergency department,"7,533",6.1,
Alabama,2020,202009,Mental health disorder,Inpatient,"3,147",2.6,
Alabama,2020,202009,Substance use disorder,Inpatient,"3,267",2.7,
Alabama,2020,202009,Mental health disorder,Intensive outpatient/Partial hospitalization,"6,701",5.5,
Alabama,2020,202009,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,724",7.1,
Alabama,2020,202009,Mental health disorder,Outpatient,"82,897",67.5,
Alabama,2020,202009,Substance use disorder,Outpatient,"1,394",1.1,
Alabama,2020,202009,Mental health disorder,Telehealth,"20,951",17.1,
Alabama,2020,202009,Substance use disorder,Telehealth,"3,140",2.6,
Alabama,2020,202010,Mental health disorder,Emergency department,"4,909",4,
Alabama,2020,202010,Substance use disorder,Emergency department,"7,870",6.4,
Alabama,2020,202010,Mental health disorder,Inpatient,"3,239",2.6,
Alabama,2020,202010,Substance use disorder,Inpatient,"3,362",2.7,
Alabama,2020,202010,Mental health disorder,Intensive outpatient/Partial hospitalization,"7,357",6,
Alabama,2020,202010,Substance use disorder,Intensive outpatient/Partial hospitalization,"9,347",7.6,
Alabama,2020,202010,Mental health disorder,Outpatient,"91,788",74.4,
Alabama,2020,202010,Substance use disorder,Outpatient,"1,694",1.4,
Alabama,2020,202010,Mental health disorder,Telehealth,"18,166",14.7,
Alabama,2020,202010,Substance use disorder,Telehealth,"2,969",2.4,
Alabama,2020,202011,Mental health disorder,Emergency department,"4,573",3.7,
Alabama,2020,202011,Substance use disorder,Emergency department,"7,629",6.1,
Alabama,2020,202011,Mental health disorder,Inpatient,"3,002",2.4,
Alabama,2020,202011,Substance use disorder,Inpatient,"3,073",2.5,
Alabama,2020,202011,Mental health disorder,Intensive outpatient/Partial hospitalization,"6,070",4.9,
Alabama,2020,202011,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,503",6.9,
Alabama,2020,202011,Mental health disorder,Outpatient,"84,080",67.7,
Alabama,2020,202011,Substance use disorder,Outpatient,"1,625",1.3,
Alabama,2020,202011,Mental health disorder,Telehealth,"15,878",12.8,
Alabama,2020,202011,Substance use disorder,Telehealth,"2,676",2.2,
Alabama,2020,202012,Mental health disorder,Emergency department,"4,334",3.5,
Alabama,2020,202012,Substance use disorder,Emergency department,"6,876",5.5,
Alabama,2020,202012,Mental health disorder,Inpatient,"2,827",2.3,
Alabama,2020,202012,Substance use disorder,Inpatient,"2,894",2.3,
Alabama,2020,202012,Mental health disorder,Intensive outpatient/Partial hospitalization,"5,790",4.6,
Alabama,2020,202012,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,276",6.6,
Alabama,2020,202012,Mental health disorder,Outpatient,"80,665",64.5,
Alabama,2020,202012,Substance use disorder,Outpatient,"1,586",1.3,
Alabama,2020,202012,Mental health disorder,Telehealth,"17,016",13.6,
Alabama,2020,202012,Substance use disorder,Telehealth,"3,005",2.4,
Alabama,2021,202101,Mental health disorder,Emergency department,"4,711",3.7,
Alabama,2021,202101,Substance use disorder,Emergency department,"6,960",5.5,
Alabama,2021,202101,Mental health disorder,Inpatient,"3,042",2.4,
Alabama,2021,202101,Substance use disorder,Inpatient,"2,902",2.3,
Alabama,2021,202101,Mental health disorder,Intensive outpatient/Partial hospitalization,"5,365",4.3,
Alabama,2021,202101,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,877",7,
Alabama,2021,202101,Mental health disorder,Outpatient,"91,560",72.6,
Alabama,2021,202101,Substance use disorder,Outpatient,"1,347",1.1,
Alabama,2021,202101,Mental health disorder,Telehealth,"18,465",14.6,
Alabama,2021,202101,Substance use disorder,Telehealth,"3,168",2.5,
Alabama,2021,202102,Mental health disorder,Emergency department,"4,760",3.8,
Alabama,2021,202102,Substance use disorder,Emergency department,"6,712",5.3,
Alabama,2021,202102,Mental health disorder,Inpatient,"2,977",2.3,
Alabama,2021,202102,Substance use disorder,Inpatient,"2,915",2.3,
Alabama,2021,202102,Mental health disorder,Intensive outpatient/Partial hospitalization,"5,430",4.3,
Alabama,2021,202102,Substance use disorder,Intensive outpatient/Partial hospitalization,"8,684",6.9,
Alabama,2021,202102,Mental health disorder,Outpatient,"89,139",70.3,
Alabama,2021,202102,Substance use disorder,Outpatient,"1,436",1.1,
Alabama,2021,202102,Mental health disorder,Telehealth,"17,845",14.1,
